id,created_at,favorite_count,retweet_count,text,entities,screen_name
1.4972E+18,2022-02-25 13:07:49+00:00,0,0,"rt @to_winterops: all roads, sidewalks, and bike lanes are being salted.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [74, 94]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [95, 106]}], 'symbols': []}",TPSAux51652
1.49719E+18,2022-02-25 12:35:12+00:00,0,0,"rt @to_winterops: all roads, sidewalks, and bike lanes are being salted.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [74, 94]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [95, 106]}], 'symbols': []}",JaimePulfer
1.49701E+18,2022-02-25 00:47:41+00:00,0,0,"rt @to_winterops: if possible, avoid parking on city streets as snow is coming.  this helps plows do their work. #cityoftowinteralert","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [113, 133]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}], 'symbols': []}",TPSAux14Div
1.497E+18,2022-02-25 00:24:00+00:00,0,0,"rt @to_winterops: if possible, avoid parking on city streets as snow is coming.  this helps plows do their work. #cityoftowinteralert","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [113, 133]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}], 'symbols': []}",BVAssociation
1.49699E+18,2022-02-24 23:34:02+00:00,0,0,"rt @to_winterops: if possible, avoid parking on city streets as snow is coming.  this helps plows do their work. #cityoftowinteralert","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [113, 133]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}], 'symbols': []}",PasternakTO
1.49698E+18,2022-02-24 23:05:18+00:00,0,0,"rt @to_winterops: if possible, avoid parking on city streets as snow is coming.  this helps plows do their work. #cityoftowinteralert","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [113, 133]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}], 'symbols': []}",TO_Transport
1.49697E+18,2022-02-24 22:21:28+00:00,0,0,"rt @to_winterops: if possible, avoid parking on city streets as snow is coming.  this helps plows do their work. #cityoftowinteralert","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [113, 133]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}], 'symbols': []}",SheilaNonato
1.49689E+18,2022-02-24 17:08:46+00:00,0,0,rt @perspecting: @to_winterops i'm not a professional snow plower but i'm pretty sure this isn't what you want to see (danforth and monarch…,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'perspecting', 'name': 'Tristan Laing', 'id': 38481852, 'id_str': '38481852', 'indices': [3, 15]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [17, 30]}], 'symbols': []}",chuddles11
1.4967E+18,2022-02-24 04:27:42+00:00,2,1,@to_winterops i'm not a professional snow plower but i'm pretty sure this isn't what you want to see (danforth and… https://t.co/sote66syx8,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SOtE66Syx8', 'expanded_url': 'https://twitter.com/i/web/status/1496703358098411526', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}], 'symbols': []}",perspecting
1.4958E+18,2022-02-21 16:46:23+00:00,0,0,"rt @workshoparch: @to_winterops @311toronto “difficulty seeing pedestrians” … explains why a speeding snow plow chucked dirty snow on me, m…","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'WorkshopArch', 'name': 'Helena Grdadolnik', 'id': 3341874459, 'id_str': '3341874459', 'indices': [3, 16]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [18, 31]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [32, 43]}], 'symbols': []}",foothillsTO
1.49545E+18,2022-02-20 17:46:16+00:00,0,0,@to_winterops @311toronto well done again !! the wind filled in many open sidewalks yesterday... great to see them cleared..,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}], 'symbols': []}",mummmbles
